__TANC__,509901312
__TARIK__,517145616
__tH__,500840362
__The_BesT___,529906898
__TheLegend27__,543920874
__tTt__,527660847
__Two_Headed_Eagle__,543880234
__TyRaEl__,526010547
__VeGo__,514694979
__Wolf,504447133
__YoDa__,523969826
__ZAR__,523191459
_Actionkid_,-1
_ADAMS_80_,509676027
_adDicteD_,509731187
_AKTIS_,-1
_ALIEN_boy,543658833
_alkor_,-1
_Alter_Sack,502336723
_Amida_,-1
_Among_the_Sleep_,524855696
_amsi_,501552353
_AN0NYM0US_,507543296
_ANABOLIQ_,501029902
_Andr3w,515451596
_Anomali_,503633360
_Anri_,502582863
_antibot_,538544313
_AntThief_,-1
_arkaad_,539947220
_Arlu_,528534578
_Ary_,548153766
_AsmoGamer_,537202420
_ATomiX_,501517942
_AusserKontrolle_,538961662
_AVE_ME_,534993034
_axxo_,-1
_Azep_,530909843
_B4ryla,532460870
_babavanga_,509350251
_Banas_,534051256
_BARISH_,504208819
_BARTEK_PL,538511700
_bartex2000_,514210389
_BcEx_B_xJIaM__,544320392
_Bendzi_,527505526
_Berija,513892597
_besnyjohn_,514559827
_BestTomato_,548769634
_BeyonD,521915793
_Bienchen_,503627207
_BigFatUnicorn_,521961710
_blackman_,502316219
_Blinde_,542960852
_BMW_M5_e39_,-1
_Bond_007,527701237
_Brainless,-1
_Broken_Arrow_,530092929
_BRZDA_sro_,542712416
_Bugs_Bunny__,-1
_BumBLeeBee_,518685922
_cant_hoot_me_,-1
_CaptainBuzz_,535110829
_chacall_,529255100
_Chibis_,521200071
_Chingachgook_,501065738
_CIGER_,520475191
_Comeback,541350958
_CP6uH_,536394246
_CreightonAbrams_,500873396
_Crys1s_,531314150
_Cumulus_,531155461
_cupus_lily_,-1
_CweniaK_,-1
_d3vilman_,528996007
_D_R_A_K_O_,520300738
_Daarom_,503781801
_DanClauS_,518773596
_Dante535,538357141
_Dark_Horse_,514628273
_Dark_Ninja_,522898898
_darkyky_,526810029
_Debi_,503385411
_Deja_Vu_,513956979
_DerDon_,514100240
_Desert_fox___,528605288
_Desper,501931093
_DEVIL_666_,-1
_DeVix_,510600614
_DeWitt_,539909411
_Dexx_,515549614
_DimmuBorgir_,500067125
_DINOS_,546219498
_DIZY_2016,534104754
_DJANGO_,500493616
_dO_ob__,534184770
_doctor_srb_,537811545
_Donax_,543274006
_Dont_Kill_Me_Please__,-1
_dontshootmepls_,547749647
_Dralle_,501260089
_DZIKUSEK_,501922198
_E25_HUN,-1
_EcoDragon_,517294968
_egorka_3,524176723
_el_shedan_,514222335
_Elendyl_CZ_,512950607
_Epok,-1
_EuroSs,-1
_Ewenky_,504197545
_Fabek_,551041736
_facekill_,-1
_FADANTE_,-1
_feeacmis_,538920510
_FEISAR_,524587427
_Ferdl,525764283
_Fib_,548036414
_Flagada_Jones_,502761011
_fliko_I,510163405
_Fluffy_Bunny_,518728065
_Fluke,-1
_forenino_,508417411
_FoSaLi_,545489156
_Fother_Mucker_,540532238
_frigo_,518092564
_Fuer_Immer_Onkelz,507867575
_FURY,-1
_G_AVEROF_,516945476
_G_E_C_K_O_,532416551
_gaby_,509946393
_galvatron_,528918604
_Geele_The_Fat_,514242329
_Gemme_,501999458
_Gerichtsvollzieher_,538483970
_Getec_,518803971
_Glory_To_Ukraine_,531539460
_Goaty_,503563924
_GoProHero_,503594930
_goro,515596946
_Grafi_,527754639
_Grave_DiggerS_,501506389
_gregori_,-1
_grey,527042091
_Grzeniu_,512972610
_GTRX_,-1
_H4LL0W33N_,540012366
_HadeS_D,518831901
_Hadnagy_,516861397
_halleluja,536684734
_Harry_Spotter,529602633
_Hellmagic_,529134770
_hi_im_Damian_,537102413
_Hidden_D_Tracker_,517073203
_HikaruSulu_,520832858
_Hitman47_,510482481
_Hozzeck_,-1
_HULK_SMASH_,526345599
_husar,539967040
_I_am_what_I_am_,534943062
_I_C_E_M_A_N_,513998370
_IGO_R_,537987967
_ImPurple,-1
_iSewen_,523209825
_Ivan_Grozni_,528330207
_Jack_Shephard,-1
_Jana_,541842779
_Jax,501444793
_Jessie_Pinkma,-1
_JEZOR_,536193189
_Jin_,518838985
_JulDaw_,551341742
_KAPUT_,553421682
_KaputtBumser_,-1
_Kazik,504586170
_kepster_,544575401
_Khanjar_,527919614
_KIEV_,-1
_Killstill_,511365678
_Knochenjaeger,504063930
_Kocur_93,500909896
_Komber_,501814376
_KoPrcko_MoTheR_RuSsia_,532506856
_kornjaca,-1
